Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
FAIR Data, Workflows, and Research	Data Registration	https://training.galaxyproject.org//topics/fair/tutorials/fair-data-registration/tutorial.html			2024-03-26	2024-09-27	3	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		150	157	8.466666666666667	0
FAIR Data, Workflows, and Research	FAIR Galaxy Training Material	https://training.galaxyproject.org//topics/fair/tutorials/fair-gtn/tutorial.html			2023-05-30	2024-03-27	5	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		235	272	11.033333333333333	0
FAIR Data, Workflows, and Research	Access	https://training.galaxyproject.org//topics/fair/tutorials/fair-access/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		174	186	8.266666666666667	0
FAIR Data, Workflows, and Research	Persistent Identifiers	https://training.galaxyproject.org//topics/fair/tutorials/fair-persistent-identifiers/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		382	454	4.85	0
FAIR Data, Workflows, and Research	FAIRification of an RNAseq dataset	https://training.galaxyproject.org//topics/fair/tutorials/fair-rna/tutorial.html			2024-03-27	2026-05-28	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		397	479	8.216666666666667	0
Using Galaxy and Managing your Data	Workflow Reports	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-reports/tutorial.html		Visualisation	2022-06-02	2024-06-14	9	True	False	True	True	csv_to_tabular, upload1, Grouping1, Cut1, ggplot2_point, tp_sorted_uniq, Remove beginning1, datamash_ops	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	Galaxy@AuBi, MISSISSIPPI, UseGalaxy.cz	0		1030	1379	9.183333333333334	0
Using Galaxy and Managing your Data	Creating, Editing and Importing Galaxy Workflows	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-editor/tutorial.html			2020-07-17	2023-11-09	12	True	False	False	True	Show beginning1, tp_tac, Paste1	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	HyPhy HIV NGS Tools, MISSISSIPPI	0		6578	8130	7.333333333333333	0
Using Galaxy and Managing your Data	Using Workflow Parameters	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-parameters/tutorial.html			2019-06-27	2024-06-14	15	True	False	True	True	tp_head_tool	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	HyPhy HIV NGS Tools, MISSISSIPPI	0		2163	2735	8.783333333333333	0
Using Galaxy and Managing your Data	Using dataset collections	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/collections/tutorial.html		Read mapping, Genome indexing, Sequence alignment, Generation	2016-09-30	2024-12-05	20	True	False	True	False	bwa_mem, lofreq_call, collapse_dataset, snpSift_extractFields	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		17451	23629	8.616666666666667	0
Using Galaxy and Managing your Data	Rule Based Uploader: Advanced	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/upload-rules-advanced/tutorial.html			2018-05-25	2024-06-14	11	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		942	1245	15.466666666666667	0
Using Galaxy and Managing your Data	Creating high resolution images of Galaxy Workflows	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-posters/tutorial.html			2024-02-05	2025-04-08	3	True	False	False	False	graphicsmagick_image_convert	UseGalaxy.eu	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.no	0		394	474	15.366666666666667	0
Using Galaxy and Managing your Data	Understanding Galaxy history system	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/history/tutorial.html			2017-02-20	2026-07-23	13	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		6082	7742	10.1	0
Using Galaxy and Managing your Data	Extracting Workflows from Histories	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/history-to-workflow/tutorial.html			2017-10-18	2026-07-23	9	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		3261	4188	10.416666666666666	0
Using Galaxy and Managing your Data	Rule Based Uploader	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/upload-rules/tutorial.html			2020-07-04	2024-06-14	11	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		6069	7769	10.133333333333333	0
Using Galaxy and Managing your Data	Annotate, prepare tests and publish Galaxy workflows in workflow registries	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-fairification/tutorial.html		Read mapping, Validation, Visualisation, Sequencing quality control	2025-05-26	2025-05-26	1	True	False	False	False	multiqc, falco	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	GalaxyTrakr	0		480	560	8.566666666666666	0
Introduction to Galaxy Analyses	Data Manipulation Olympics	https://training.galaxyproject.org//topics/introduction/tutorials/data-manipulation-olympics/tutorial.html			2022-07-20	2026-07-23	17	True	False	False	True	Count1, {{version_cut_columns}}, Grouping1, {{version_paste}}, Remove beginning1, regexColumn1, {{version_compute}}, {{version_replace_text_column}}, {{version_datamash}}, {{version_replace_text_line}}, {{version_sort}}, {{version_unique}}, {{version_count}}, cat1, Show beginning1, Filter1, datamash_ops, tabular_to_csv, tp_split_on_column, {{version_join}}, {{version_select_first}}, wc_gnu, {{version_wc}}, {{version_remove_beginning}}, tp_cat, {{version_cat}}, upload1, Cut1, {{version_split}}, tp_sort_header_tool, tp_sorted_uniq, {{version_cut_advanced}}, Add_a_column1, {{version_remove_columns_by_header}}, join1, {{version_filter}}			0		7029	10062	11.3	0
Introduction to Galaxy Analyses	How to reproduce published Galaxy analyses	https://training.galaxyproject.org//topics/introduction/tutorials/galaxy-reproduce/tutorial.html		Visualisation	2021-08-25	2026-07-23	13	True	False	False	True	csv_to_tabular, upload1, Grouping1, Cut1, ggplot2_point, tp_sorted_uniq, Remove beginning1, datamash_ops	Galaxy@AuBi, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	MISSISSIPPI, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		2454	3238	16.533333333333335	0
Introduction to Galaxy Analyses	Best Practices for Citing Galaxy	https://training.galaxyproject.org//topics/introduction/tutorials/galaxy-cite/tutorial.html			2025-11-06	2026-07-24	4	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		377	407	6.166666666666667	0
Introduction to Galaxy Analyses	Galaxy Basics for genomics	https://training.galaxyproject.org//topics/introduction/tutorials/galaxy-intro-101/tutorial.html		Mapping	2016-12-19	2026-07-23	69	True	False	True	True	tp_head_tool, bedtools_intersectbed, upload1, tp_sort_header_tool, datamash_ops, comp1	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.no	0		56130	89083	8.533333333333333	0
Introduction to Galaxy Analyses	Introduction to Galaxy as an RDM platform	https://training.galaxyproject.org//topics/introduction/tutorials/galaxy-intro-rdm/tutorial.html		Visualisation	2026-03-19	2026-07-23	3	True	False	False	True	column_remove_by_header, export_remote, Add_a_column1, imagemagick_image_montage, ggplot2_histogram, unzip, Summary_Statistics1	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.org (Main)	0		388	494	11.033333333333333	0
Metabolomics	Molecular formula assignment and mass recalibration with MFAssignR package	https://training.galaxyproject.org//topics/metabolomics/tutorials/mfassignr/tutorial.html	Metabolomics	Deisotoping, Visualisation, Mass spectra calibration, Annotation	2025-05-19	2026-07-23	2	True	False	False	True	mfassignr_mfassign, mfassignr_kmdnoise, mfassignr_isofiltr, mfassignr_recallist, mfassignr_recal, mfassignr_histnoise, mfassignr_snplot, mfassignr_findRecalSeries, mfassignr_mfassignCHO			0		355	416	5.066666666666666	0
Metabolomics	Mass spectrometry imaging: Examining the spatial distribution of analytes	https://training.galaxyproject.org//topics/metabolomics/tutorials/msi-analyte-distribution/tutorial.html	Metabolomics		2019-02-21	2026-07-23	19	True	False	False	True	Filter1, cardinal_spectra_plots, cardinal_quality_report, cardinal_filtering, cardinal_mz_images, cardinal_data_exporter	UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		3438	4784	9.033333333333333	0
Metabolomics	Mass spectrometry: LC-MS analysis	https://training.galaxyproject.org//topics/metabolomics/tutorials/lcms/tutorial.html	Metabolomics	Chromatogram visualisation, Label-free quantification, Chromatographic alignment, Validation, Spectral analysis, Peak detection, Annotation, Mass spectrum visualisation, Data filtering	2019-07-02	2026-07-23	14	True	False	False	True	xcms_merge, Batch_correction, wsdl_hmdb, abims_xcms_xcmsSet, msnbase_readmsdata, xcms_plot_chromatogram, generic_filter, abims_CAMERA_annotateDiffreport, abims_xcms_fillPeaks, abims_xcms_retcor, xcms_export_samplemetadata, quality_metrics, abims_xcms_group, Univariate		UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no	0		14141	22678	3.6333333333333333	0
